Quartile,Paper Title,Indexed By,Volume,Issue,Publication Date,Publication Type,Cited By
Q2,Intelligent Surveillance Robot with Obstacle Avoidance Capabilities Using Neural Network,Computational Intelligence and Neuroscience,2015,-,2015-01-01,Journal,7
-,Logistic Models for Classifying Online Grooming Conversation,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,7
-,Attendance system on Android smartphone,ICCEREC 2015 - International Conference on Control; Electronics; Renewable Energy and Communications,-,-,2015-11-24,Conference Proceedin,7
-,Software quality model for Internet of Things governance,Proceedings of 2016 International Conference on Data and Software Engineering; ICoDSE 2016,-,-,2017-05-30,Conference Proceedin,7
Q3,Nonretinotopic particle filter for visual tracking,Journal of Theoretical and Applied Information Technology,63,1,2014-01-01,Journal,7
-,Simulation model of bus rapid transit,EPJ Web of Conferences,68,-,2014-01-01,Conference Proceedin,7
-,Face Expression Detection on Kinect Using Active Appearance Model and Fuzzy Logic,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,7
-,Computational models of emotion; personality; and social relationships for interactions in games,Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems; AAMAS,-,-,2016-01-01,Conference Proceedin,7
-,Personality Prediction System from Facebook Users,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,7
-,Dynamic Difficulty Adjustment in Tower Defence,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,7
Q2,Examining the security issues of automated teller machine based on revised technical acceptance mode,Telkomnika (Telecommunication Computing Electronics and Control),14,4,2016-12-01,Journal,7
Q2,A framework to mine high-level emerging patterns by attribute-oriented induction,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,6936 LNCS,-,2011-09-26,Book Series,7
-,Sound and digital class room: Smart way to have a language laboratory,Journal of Computer Science,9,6,2013-07-19,Journal,7
-,American sign language-based finger-spelling recognition using k-Nearest Neighbors classifier,2015 3rd International Conference on Information and Communication Technology; ICoICT 2015,-,-,2015-08-31,Conference Proceedin,7
-,Beat reordering for optimal electrocardiogram signal compression using SPIHT,Conference Proceedings - IEEE International Conference on Systems; Man and Cybernetics,-,-,2012-12-01,Conference Proceedin,7
-,3D SPIHT for multi-lead ECG compression,Proceedings - IEEE International Conference on Robotics and Automation,-,-,2014-01-01,Conference Proceedin,7
-,Developing smart telehealth system in Indonesia: Progress and challenge,ICACSIS 2015 - 2015 International Conference on Advanced Computer Science and Information Systems; P,-,-,2016-02-19,Conference Proceedin,7
Q3,Copula-based model for rainfall and El- Ni?o in Banyuwangi Indonesia,Journal of Physics: Conference Series,1008,1,2018-04-27,Conference Proceedin,7
Q1,Investigation of the characteristics of geoelectric field signals prior to earthquakes using adaptiv,Natural Hazards and Earth System Sciences,13,6,2013-07-19,Journal,7
Q3,The influence of business process on accounting information system quality,Pertanika Journal of Social Sciences and Humanities,26,-,2018-04-01,Journal,7
Q2,Toward quantitative deuterium analysis with laser-induced breakdown spectroscopy using atmospheric-p,Journal of Applied Physics,107,2,2010-02-08,Journal,7
Q2,Quantitative deuterium analysis of titanium samples in ultraviolet laser-induced low-pressure helium,Applied Spectroscopy,64,4,2010-04-01,Journal,7
Q2,Direct evidence of mismatching effect on H emission in laser-induced atmospheric helium gas plasma,Journal of Applied Physics,113,5,2013-02-07,Journal,7
-,Strategy alignment with organizational culture assessment instrument (OCAI) results of cellular indu,International Journal of Economics and Management,10,SpecialIssue1,2016-01-01,Journal,7
Q3,Fuzzy simple additive weighting based; decision support system application for alternative confusion,American Journal of Applied Sciences,11,4,2014-04-11,Journal,7
Q1,Encapsulation of oil in silk fibroin biomaterials,Journal of Applied Polymer Science,131,6,2014-03-15,Journal,7
-,Encapsulation of volatile compounds in silk microparticles,Journal of Coatings Technology and Research,12,4,2015-07-01,Journal,7
-,News Article Text Classification in Indonesian Language,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,7
-,Diagnosis of diabetes mellitus using extreme learning machine,2014 International Conference on Information Technology Systems and Innovation; ICITSI 2014 - Procee,-,-,2014-02-24,Conference Proceedin,7
-,Crime forecasting using ARIMA model and fuzzy alpha-cut,Journal of Applied Sciences,13,1,2013-02-07,Journal,7
Q1,Two-dimensional amine-functionality gradient by plasma polymerization,Biochemical Engineering Journal,78,-,2013-09-05,Journal,7
-,An Examination of Character Recognition on ID card using Template Matching Approach,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,7
-,Determinant of corporate financial distress in an emerging market economy: Empirical evidence from t,International Research Journal of Finance and Economics,52,-,2010-10-01,Journal,7
Q2,Traditional Indonesian dairy foods,Asia Pacific Journal of Clinical Nutrition,24,-,2015-01-01,Journal,7
Q1,Quantifying aggregate microtexture with respect to wear-Case of New Zealand aggregates,Wear,332-333,-,2015-05-01,Journal,7
Q1,Spatio-angular consistent editing framework for 4D light field images,Multimedia Tools and Applications,75,23,2016-12-01,Journal,7
Q1,Robust Light Field Depth Estimation using Occlusion-Noise Aware Data Costs,IEEE Transactions on Pattern Analysis and Machine Intelligence,-,-,2017-08-30,Journal,7
-,Exploring the pattern of habits of users using web log squential pattern,Proceedings - 2010 2nd International Conference on Advances in Computing; Control and Telecommunicat,-,-,2010-12-01,Conference Proceedin,7
-,Towards high performance software teamwork,ACM International Conference Proceeding Series,-,-,2013-05-13,Conference Proceedin,7
-,Indonesia s Overseas Labour Migration Programme; 1969-2010,Indonesia s Overseas Labour Migration Programme; 1969-2010,-,-,2016-08-08,Book,7
-,Mapping task graphs onto network processors using genetic algorithm,AICCSA 08 - 6th IEEE/ACS International Conference on Computer Systems and Applications,-,-,2008-08-28,Conference Proceedin,6
-,Hybrid pattern matching for trusted intrusion detection,Security and Communication Networks,4,1,2011-01-01,Journal,6
-,From traditional learning into e-learning: Comparing students response to promote e-learning in coll,Proceedings of 2013 IEEE International Conference on Teaching; Assessment and Learning for Engineeri,-,-,2013-12-01,Conference Proceedin,6
-,Sociopsychotechnological predictors of individual s social loafing in virtual team,International Journal of Electrical and Computer Engineering,5,6,2015-01-01,Journal,6
Q2,Topic switch models for dialogue management in virtual humans,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,10011 LNAI,-,2016-01-01,Book Series,6
-,Summarizing text for indonesian language by using latent dirichlet allocation and genetic algorithm,International Conference on Electrical Engineering; Computer Science and Informatics (EECSI),1,-,2014-08-01,Conference Proceedin,6
-,Identifying users  behavior purchasing virtual items,Proceedings of the International Conference on Electronic Business (ICEB),-,-,2009-12-01,Conference Proceedin,6
-,A dynamic personalization in e-learning process based on triple-factor architecture,Proceedings - 2012 8th International Conference on Computing Technology and Information Management;,1,-,2012-10-08,Conference Proceedin,6
Q2,Object-oriented modelling with unified modelling language 2.0 for simple software application based,Behaviour and Information Technology,30,3,2011-05-01,Journal,6
-,The effect of UI; UX and GX on video games,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,6
-,Mobile Ad hoc network and mobile IP for future mobile telemedicine system,2006 IFIP International Conference on Wireless and Optical Communications Networks,-,-,2006-12-01,Conference Proceedin,6
-,System architecture in the dynamic environment based on commonality and variability business process,Proceedings - 2012 8th International Conference on Computing Technology and Information Management;,1,-,2012-10-08,Conference Proceedin,6
-,Reduced software complexity for E-Government applications with ZEF framework,Telkomnika (Telecommunication Computing Electronics and Control),15,1,2017-03-01,Journal,6
Q1,Rectifying the Inconsistent Fuzzy Preference Matrix in AHP Using a Multi-Objective BicriterionAnt,Neural Processing Letters,44,2,2016-10-01,Journal,6
-,Text Normalization Algorithm on Twitter in Complaint Category,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,6
-,Evaluation performance of Hybrid Localized Multi Kernel SVR (LMKSVR) in electrical load data using 4,Journal of Engineering and Applied Sciences,13,17,2018-01-01,Journal,6
-,The design of knowledge management system model for SME (UKM),Journal of Theoretical and Applied Information Technology,64,3,2014-01-01,Journal,6
-,Genetic Variation of the First Generation of Rodent Tuber (Typhonium flagelliforme Lodd.) Mutants Ba,HAYATI Journal of Biosciences,22,2,2015-04-01,Journal,6
-,The effect of involvement and electronic word of mouth (eWOM) on brand image and its impact on consu,International Journal of Economics and Management,10,SpecialIssue1,2016-01-01,Journal,6
-,Leadership for performance excellence,International Business Management,7,4,2013-11-19,Journal,6
Q4,How to implement technology science for entrepreneurship by using product-based learning approach an,Advanced Science Letters,23,11,2017-11-01,Journal,6
-,Diagnosis of diabetes using support vector machines with radial basis function kernels,International Journal of Technology,7,5,2016-01-01,Journal,6
-,Fermented milks: Types and Standards of Identity,Encyclopedia of Dairy Sciences: Second Edition,-,-,2011-01-01,Book,6
Q2,The effect of an Annona muricata leaf extract on nutritional status and cytotoxicity in colorectal c,Asia Pacific Journal of Clinical Nutrition,26,4,2017-06-01,Journal,6
Q2,Lactobacillus plantarum IS-10506 supplementation reduced SCORAD in children with atopic dermatitis,Beneficial Microbes,8,5,2017-01-01,Journal,6
-,Factors that determine eelectronic medical records users satisfaction: A case of Indonesia,Journal of Theoretical and Applied Information Technology,58,3,2013-01-01,Journal,6
Q3,Correcting geometric and photometric distortion of document images on a smartphone,Journal of Electronic Imaging,24,1,2015-01-01,Journal,6
-,Depth map estimation and colorization of anaglyph images using local color prior and reverse intensi,Proceedings of the IEEE International Conference on Computer Vision,2015 International Conference,-,2015-02-17,Conference Proceedin,6
Q4,Diagnostic evaluation of lecturer quality in learning process at â€œnew private higher education ins,Advanced Science Letters,22,5-6,2016-05-01,Journal,6
-,ULa Lab: Ubiquitous open contents Web-Based Language Laboratory using REST protocol Web Service,International Journal of Multimedia and Ubiquitous Engineering,8,4,2013-08-08,Journal,6
-,The use of green information technology governance model to determine capability maturity level in D,Journal of Theoretical and Applied Information Technology,61,1,2014-01-01,Journal,6
Q3,IoT real time data acquisition using MQTT protocol,Journal of Physics: Conference Series,853,1,2017-06-07,Conference Proceedin,6
-,Managing the quality of UML models in practice,Model-Driven Software Development: Integrating Quality Assurance,-,-,2008-12-01,Book,6
-,Measuring the degree of service orientation in proprietary SOA systems,Proceedings - 2013 IEEE 7th International Symposium on Service-Oriented System Engineering; SOSE 201,-,-,2013-08-05,Conference Proceedin,6
-,An investigation into the dimensions of training effectiveness on post training outcomes of quality,International Journal of Productivity and Quality Management,5,2,2010-12-01,Journal,6
Q1,Pursuing green growth in technology firms through the connections between environmental innovation a,Resources; Conservation and Recycling,141,-,2019-02-01,Journal,6
-,Genetic algorithm and neural network for optical character recognition,Journal of Computer Science,9,11,2013-12-23,Journal,5
-,Robust vision-based detection and grasping object for manipulator using SIFT keypoint detector,International Conference on Advanced Mechatronic Systems; ICAMechS,-,-,2014-01-01,Conference Proceedin,5
-,Flexible affix classification for stemming Indonesian Language,2016 13th International Conference on Electrical Engineering/Electronics; Computer; Telecommunicatio,-,-,2016-09-06,Conference Proceedin,5
-,Mango Fruit Sortation System using Neural Network and Computer Vision,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,5
-,Impact of Luxury Brand Retailer Co-Branding Strategy on Potential Customers: A Cross-Cultural Study,Journal of International Consumer Marketing,27,3,2015-01-01,Journal,5
-,Information security maturity model: A best practice driven approach to PCI DSS compliance,Proceedings - 2016 IEEE Region 10 Symposium; TENSYMP 2016,-,-,2016-07-22,Conference Proceedin,5
-,Modeling software effort estimation using hybrid PSO-ANFIS,Proceeding - 2016 International Seminar on Intelligent Technology and Its Application; ISITIA 2016:,-,-,2017-01-20,Conference Proceedin,5
Q3,Deep extreme tracker based on bootstrap particle filter,Journal of Theoretical and Applied Information Technology,66,3,2014-08-31,Journal,5
-,Geometric deep particle filter for motorcycle tracking: Development of intelligent traffic system in,International Journal on Smart Sensing and Intelligent Systems,8,1,2015-01-01,Journal,5
-,Human Sperm tracking using Particle Swarm Optimization combined with Smoothing Stochastic sampling o,2015 International Symposium on Micro-NanoMechatronics and Human Science; MHS 2015,-,-,2016-03-21,Conference Proceedin,5
-,Counterfeit self: A confirmatory factor analysis among Indonesians,Kasetsart Journal of Social Sciences,-,-,2018-01-01,Journal,5
-,Automated Test Case Generation from UML Activity Diagram and Sequence Diagram using Depth First Sear,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,5
-,Is social media used as social activities or academic activities? (Study for college student s subje,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,5
-,Software size measurement of student information terminal with use case point,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,5
-,The smart tele-emergency project: A mobile telemedicine unit based on mobile IPv6 and mobile ad hoc,2004 RF and Microwave Conference; RFM 2004 - Proceedings,-,-,2004-12-01,Conference Proceedin,5
Q2,Î´-Optimum exclusive sum labeling of certain graphs with radius one,Lecture Notes in Computer Science,3330,-,2005-09-01,Conference Proceedin,5
Q2,A platform on the cloud for self-creation of mobile interactive learning trails,International Journal of Mobile Learning and Organisation,7,1,2013-02-04,Journal,5
-,Characterizing chicken eggshell reinforced polypropylene (PP),Advanced Materials Research,264-265,-,2011-08-08,Book Series,5
-,Hybrid support vector regression in electric load during national holiday season,Proceedings - 2017 International Conference on Innovative and Creative Information Technology: Compu,2018-January,-,2018-03-16,Conference Proceedin,5
Q3,Brief Overview of STATCAL Statistical Application Program,Journal of Physics: Conference Series,1028,1,2018-06-14,Conference Proceedin,5
Q1,Teachers and their implementation of differentiated instruction in the classroom,Teaching and Teacher Education,67,-,2017-10-01,Journal,5
Q2,Indonesian drivers  characteristics associated with road accidents,International Journal of Technology,8,2,2017-01-01,Journal,5
-,Joint optimization of measurement matrix and sparse dictionary in compressive sensing,2012 International Conference on Computer and Communication Engineering; ICCCE 2012,-,-,2012-10-15,Conference Proceedin,5
Q2,Hydrogen analysis in metal samples by selective detection method utilizing TEA CO2 laser-induced He,Applied Physics A: Materials Science and Processing,101,3,2010-11-01,Journal,5
Q2,Quantitative and sensitive analysis of CN molecules using laser induced low pressure He plasma,Journal of Applied Physics,117,11,2015-03-21,Journal,5
Q1,Practical and highly sensitive elemental analysis for aqueous samples containing metal impurities em,Applied Optics,54,25,2015-09-01,Journal,5
Q1,Confinement effect of primary plasma on glass sample induced by irradiation of Nd-YAG laser at low p,Japanese Journal of Applied Physics; Part 1: Regular Papers and Short Notes and Review Papers,40,10,2001-10-01,Journal,5
-,Live demonstration: IEEE802.11 wireless LAN system verification platform,IEEE Asia-Pacific Conference on Circuits and Systems; Proceedings; APCCAS,2015-February,February,2015-01-01,Conference Proceedin,5
-,Smart city indicators: A systematic literature review,Journal of Telecommunication; Electronic and Computer Engineering,8,3,2016-01-01,Journal,5
Q4,Simulation modeling of Tablet PCs selection using weighted-product algorithm,Applied Mathematical Sciences,8,113-116,2014-01-01,Journal,5
-,A web application and database for agriculture genetic diversity and association studies,International Journal of Bio-Science and Bio-Technology,5,6,2013-12-01,Journal,5
Q1,Using spinoffs to reduce capital mis-allocations,Review of Quantitative Finance and Accounting,20,1,2003-01-01,Journal,5
Q3,Actinobacteria isolates from tin tailings and forest soil for bioremediation of heavy metals,Journal of Tropical Forest Science,26,1,2014-02-24,Journal,5
-,Review of Multi-platform Mobile Application Development Using WebView: Learning Management System on,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,5
-,CodeR: Real-time Code Editor Application for Collaborative Programming,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,5
-,Automated identification of Relatively Permanent Pigmented or Vascular Skin Marks (RPPVSM),ICASSP; IEEE International Conference on Acoustics; Speech and Signal Processing - Proceedings,-,-,2013-10-18,Conference Proceedin,5
-,Visual Object Tracking Based on Mean-shift and Particle-Kalman Filter,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,5
Q1,Performance of dadih cultures in fluid milk application at low temperature storage,Asian-Australasian Journal of Animal Sciences,13,SUPPL. A,2000-12-01,Journal,5
-,A Structural Equations Modeling of purchasing decision through e-commerce,Journal of Theoretical and Applied Information Technology,60,2,2014-01-01,Journal,5
-,Factors affecting customer loyalty in business e-commerce: A case of Indonesia,Journal of Theoretical and Applied Information Technology,76,3,2015-01-01,Journal,5
Q3,Enhancement of creativity through logo programming,American Journal of Applied Sciences,11,4,2014-04-11,Journal,5
-,A systematic approach to improving e-learning implementations in high schools,Turkish Online Journal of Educational Technology,13,3,2014-01-01,Journal,5
-,Culture; social networks and HIV vulnerability among men who have sex with men in Indonesia,PLoS ONE,12,6,2017-06-01,Journal,5
Q3,FWFA Optimization based Decision Support System for Road Traffic Engineering,Journal of Physics: Conference Series,801,1,2017-03-27,Journal,5
-,Recognition of a human behavior pattern in paper rock scissor game using backpropagation artificial,2014 2nd International Conference on Information and Communication Technology; ICoICT 2014,-,-,2014-01-01,Conference Proceedin,5
-,Static debonding initiation stress of fiber glass composite,JSME International Journal; Series A: Solid Mechanics and Material Engineering,47,2,2004-04-01,Journal,5
Q1,Impact force reconstruction using the regularized Wiener filter method,Inverse Problems in Science and Engineering,24,7,2016-09-01,Journal,5
-,Game artificial intelligence based using reinforcement learning,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,5
Q4,Support vector regression with missing data treatment based variables selection for water level pred,WSEAS Transactions on Mathematics,13,-,2014-01-01,Journal,5
-,A GIS - Based Approach for Catchment Area Analysis of Convenience Store,Procedia Computer Science,72,-,2015-01-01,Conference Proceedin,5
-,The use of UML class diagrams and its effect on code change-proneness,Proceedings of the 2nd International Workshop on Experiences and Empirical Studies in Software Model,-,-,2012-12-01,Conference Proceedin,5
-,Eco-innovation practices: A case study of green furniture manufacturers in Indonesia,International Journal of Services and Operations Management,23,1,2016-01-01,Journal,5
-,An empirical analysis of eco-design of electronic products on operational performance: Does environm,International Journal of Business Innovation and Research,14,2,2017-01-01,Journal,5
Q1,Understanding the effects of energy management practices on renewable energy supply chains: Implicat,Energy Policy,118,-,2018-07-01,Journal,5
-,The development of an expert car failure diagnosis system with Bayesian approach,Journal of Computer Science,9,10,2013-12-19,Journal,4
-,The psychological aspects and implementation of adaptive games for mobile application,2013 International Joint Conference on Awareness Science and Technology and Ubi-Media Computing: Can,-,-,2013-01-01,Conference Proceedin,4
-,Design of tracked robot with remote control for surveillance,International Conference on Advanced Mechatronic Systems; ICAMechS,-,-,2014-01-01,Conference Proceedin,4
-,Fast brain control systems for electric wheelchair using support vector machine,Proceedings of SPIE - The International Society for Optical Engineering,10011,-,2016-01-01,Conference Proceedin,4
Q2,The impact of luxury brand-retailer co-branding strategy on consumers  evaluation of luxury brand im,Advances in International Marketing,23,-,2012-12-01,Book Series,4
-,Characterizing power and resource consumption of encryption/decryption in portable devices,2008 IEEE Region 5 Conference,-,-,2008-09-22,Conference Proceedin,4
-,A vibratory-based method for road damage classification,2015 International Seminar on Intelligent Technology and Its Applications; ISITIA 2015 - Proceeding,-,-,2015-08-24,Conference Proceedin,4
-,A review of collisions in cryptographic hash function used in digital forensic tools,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
-,Software reliability measurement base on failure intensity,Proceeding - 2017 3rd International Conference on Science in Information Technology: Theory and Appl,2018-January,-,2018-01-12,Conference Proceedin,4
-,Measuring the quality of various version an object-oriented software utilizing CK metrics,2018 International Conference on Information and Communications Technology; ICOIACT 2018,2018-January,-,2018-04-26,Conference Proceedin,4
-,Measurement of QuestDone mobile application using 7 steps use case points method,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,4
-,Characteristic of rectangular vertex chain code for shapes with hole,Proceedings - 2009 International Conference on Information Management and Engineering; ICIME 2009,-,-,2009-10-05,Conference Proceedin,4
-,Visual Tracking for Abrupt Motions of Human Sperm Using Smoothing Stochastic Approximate Monte Carlo,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,4
-,A survey of medical image classification techniques,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,4
-,Location-based game to enhance player s experience in survival horror game,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
-,Recurrent Neural Network to Deep Learn Conversation in Indonesian,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
-,Mobile application software defect prediction,Proceedings - 2016 IEEE Symposium on Service-Oriented System Engineering; SOSE 2016,-,-,2016-05-18,Conference Proceedin,4
-,Expert system for diagnosis of Discus fish disease using fuzzy logic approach,Proceedings of 2015 IEEE International Conference on Computer and Communications; ICCC 2015,-,-,2016-01-19,Conference Proceedin,4
-,Exploring personality prediction from text on social media: A literature review,Internetworking Indonesia Journal,9,1,2017-01-01,Journal,4
-,Personality prediction based on Twitter information in Bahasa Indonesia,Proceedings of the 2017 Federated Conference on Computer Science and Information Systems; FedCSIS 20,-,-,2017-11-10,Conference Proceedin,4
-,The smartphone for disseminating of fake news by the university students game player,Proceedings of 2017 International Conference on Information Management and Technology; ICIMTech 2017,2018-January,-,2018-01-29,Conference Proceedin,4
-,The Implementation of Hand Detection and Recognition to Help Presentation Processes,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,4
-,Optimizing IT Infrastructure by Virtualization Approach,IOP Conference Series: Materials Science and Engineering,190,1,2017-04-19,Conference Proceedin,4
-,Application hiding messages in JPEG images with the method of bit-plane complexity segmentation on a,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,4
-,Steganography application program using the ID3V2 in the MP3 audio file on mobile phone,Journal of Computer Science,10,7,2014-03-04,Journal,4
-,Computational intelligence method for early diagnosis dengue haemorrhagic fever using fuzzy on mobil,EPJ Web of Conferences,68,-,2014-01-01,Conference Proceedin,4
-,Predicting students performance in final examination using linear regression and multilayer perceptr,Proceedings - 2017 10th International Conference on Human System Interactions; HSI 2017,-,-,2017-08-08,Conference Proceedin,4
-,Integration model of knowledge management and social media for higher education,Telkomnika (Telecommunication Computing Electronics and Control),15,2,2017-06-01,Journal,4
-,Building a popular mobile application by utilizing user feedback,Proceedings - 2017 International Conference on Innovative and Creative Information Technology: Compu,2018-January,-,2018-03-16,Conference Proceedin,4
-,Confidence of AOI-HEP mining pattern,Telkomnika (Telecommunication Computing Electronics and Control),16,3,2018-06-01,Journal,4
-,Comparing the effectiveness of digital contents for improving learning outcomes in computer programm,Journal of E-Learning and Knowledge Society,12,1,2016-01-01,Journal,4
-,Stochastic regular grammar-based learning for basic dance motion recognition,2013 International Conference on Advanced Computer Science and Information Systems; ICACSIS 2013,-,-,2013-01-01,Conference Proceedin,4
-,A method for dance motion recognition and scoring using two-layer classifier based on conditional ra,2014 IEEE 3rd Global Conference on Consumer Electronics; GCCE 2014,-,-,2014-02-03,Conference Proceedin,4
-,Internet of things for sleep quality monitoring system: A survey,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,4
Q2,Image level fusion method for multimodal 2D + 3D face recognition,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,5112 LNCS,-,2008-07-28,Book Series,4
-,Sign Language Recognition Application Systems for Deaf-Mute People: A Review Based on Input-Process-,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
Q4,Multi-objective particle swarm optimization for repairing inconsistent comparison matrices,International Journal of Computers and Applications,36,3,2014-01-01,Journal,4
-,Design and Development Game Chinese Language Learning with Gamification and Using Mnemonic Method,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
Q4,A review of current development in natural fiber composites in automotive applications,Applied Mechanics and Materials,564,-,2014-01-01,Book Series,4
Q4,Prediction of crude oil prices using support vector regression (SVR) with grid search - Cross valida,Global Journal of Pure and Applied Mathematics,12,4,2016-01-01,Journal,4
-,Animal sound activity detection using multi-class support vector machines,2011 4th International Conference on Mechatronics: Integrated Engineering for Industrial and Societa,-,-,2011-08-11,Conference Proceedin,4
-,Adaptive Short Time Fourier Transform (STFT) Analysis of seismic electric signal (SES): A comparison,ISIEA 2012 - 2012 IEEE Symposium on Industrial Electronics and Applications,-,-,2012-12-01,Conference Proceedin,4
-,Real-time lane recognition and position estimation for small vehicle,Internetworking Indonesia Journal,5,2,2013-01-01,Journal,4
Q3,Application of business intelligence to support marketing strategies: A case study approach,Journal of Theoretical and Applied Information Technology,64,1,2014-01-01,Journal,4
-,The influence of leadership styles on accounting information systems quality and its impact on infor,International Conference on Communication Technology Proceedings; ICCT,2017-October,-,2018-05-15,Conference Proceedin,4
-,Compressive sensing-based image encryption with optimized sensing matrix,Proceeding - IEEE CYBERNETICSCOM 2013: IEEE International Conference on Computational Intelligence a,-,-,2013-01-01,Conference Proceedin,4
Q1,Emission characteristics of hydrogen in atmospheric helium gas plasma induced by TEA CO2 laser bomba,Journal of Analytical Atomic Spectrometry,26,7,2011-05-01,Journal,4
-,Emission characteristics of Ca and Mg atoms in gas plasma induced by the bombardment of transversely,Japanese Journal of Applied Physics,51,8 PART 1,2012-08-01,Journal,4
Q2,Analysis of sodium aerosol using transversely excited atmospheric CO 2 laser-induced gas plasma spec,Current Applied Physics,14,3,2014-03-01,Journal,4
Q2,Evidence of feasible hardness test on Mars using ratio of ionic/neutral emission intensities measure,Journal of Applied Physics,119,16,2016-04-28,Journal,4
-,Preliminary study on detection sediment contamination in soil affected by the Indian Ocean giant tsu,AIP Conference Proceedings,1719,-,2016-03-11,Conference Proceedin,4
-,Morphometric and histochemical studies of the skeletal muscles of patients with chronic renal failur,Zeitschrift fur Urologie und Nephrologie,79,10,1986-10-01,Journal,4
Q2,Adopting generalized audit software: an Indonesian perspective,Managerial Auditing Journal,31,8-9,2016-01-01,Journal,4
-,Expert-system based medical stroke prevention,Journal of Computer Science,9,9,2013-08-30,Journal,4
-,Analysis of Affecting Factors Technology Acceptance Model in the Application of Knowledge Management,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
-,University dashboard: An implementation of executive dashboard to university,2014 2nd International Conference on Information and Communication Technology; ICoICT 2014,-,-,2014-01-01,Conference Proceedin,4
Q3,Factors influencing the intention to share knowledge in citizen media with stimulus-organismic-respo,International Journal of Web Based Communities,12,4,2016-01-01,Journal,4
-,Human tracking application in a certain closed area using RFID sensors and IP camera,Proceedings - 2016 3rd International Conference on Information Technology; Computer; and Electrical,-,-,2017-04-04,Conference Proceedin,4
-,Management report for marketing in higher education based on data warehouse and data mining,International Journal of Multimedia and Ubiquitous Engineering,10,4,2015-01-01,Journal,4
-,Big data: Concept; applications; &amp; challenges,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,4
-,Trend prediction for computer science research topics using extreme learning machine,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,4
-,Plagiarism detection algorithm using natural language processing based on grammar analyzing,Journal of Theoretical and Applied Information Technology,63,1,2014-01-01,Journal,4
-,Dynamic difficulty adjustment in game based on type of player with ANFIS method,Journal of Theoretical and Applied Information Technology,65,1,2014-01-01,Journal,4
-,Data Mining of Automatically Promotion Tweet for Products and Services Using Naïve Bayes Algorithm,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,4
-,Hybrid disk drive configuration on database server virtualization,Indonesian Journal of Electrical Engineering and Computer Science,2,3,2016-06-01,Journal,4
Q3,Study on high-rise building using wind energy at humid tropical climate,Chemical Engineering Transactions,56,-,2017-01-01,Book Series,4
Q1,Creation of biofunctionalized plasma polymerized allylamine gradients,Journal of Polymer Science; Part B: Polymer Physics,51,18,2013-09-15,Journal,4
-,Parking guidance system based on real time operating system,Proceedings - International Conference on Industrial Automation; Information and Communications Tech,-,-,2014-01-01,Conference Proceedin,4
-,Performance Comparison and Optimization of Text Document Classification using k-NN and Naïve Bayes,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
-,Personal security tracking based on android and web application,Telkomnika (Telecommunication Computing Electronics and Control),16,2,2018-04-01,Journal,4
